Source,Target,Timestamp
7407,97905,120
7416,33138,17
7418,19522,120
7437,13223,15
7437,55708,15
7448,7450,15
7452,53971,15
7456,30189,15
7456,82183,15
7457,10911,113
7462,86929,116
7475,69302,15
7475,82474,15
7475,92103,15
7481,50497,15
7484,110794,113
7492,47340,17
7495,3246,19
7526,29767,116
7526,71878,19
7541,55759,17
7541,108690,113
7564,109878,19
7576,32961,113
7585,103783,123
7604,9214,15
7604,23099,15
7604,33544,15
7611,47698,113
7629,6453,123
7635,8162,123
7635,80723,116
7636,296,15
7636,4237,15
7636,5676,15
7636,6684,15
7636,6849,15
7636,6928,15
7636,7273,15
7636,7416,15
7636,11725,15
7636,16666,15
7636,28325,15
7636,30158,15
7636,32976,15
7636,47227,15
7636,48619,15
7636,87995,15
7663,16002,113
7663,18620,113
7675,100998,116
7685,1056,19
7685,2168,15
7685,4413,15
7685,5683,15
7685,9009,15
7685,9152,15
7685,9269,15
7685,10745,15
7685,11005,15
7685,13543,15
7685,13760,15
7685,14365,15
7685,15258,15
7685,15943,15
7685,16924,15
7685,19394,15
7685,22078,15
7685,26998,15
7685,31323,15
7685,32886,15
7685,38233,15
7685,40841,15
7685,57638,15
7685,60364,15
7685,67552,15
7685,72284,15
7685,73350,15
7685,74281,15
