,Source,Target
21234,5379,48238
21243,5386,46567
21244,5386,51688
21245,5386,58597
21252,5389,43568
21302,5403,8014
21352,5417,21098
21373,5427,1869
21377,5429,62642
21378,5429,72662
21411,5437,41489
21420,5439,48090
21423,5440,17003
21424,5440,17593
21425,5440,61456
21426,5440,85243
21427,5440,93626
21428,5440,97800
21429,5440,100610
21430,5440,105042
21499,5457,15272
21551,5475,23871
21673,5499,5174
21674,5500,3501
21801,5535,2494
21802,5535,2617
21803,5535,5091
21804,5535,5115
21805,5535,6280
21806,5535,7278
21807,5535,9116
21808,5535,9946
21809,5535,10728
21810,5535,11990
21811,5535,12958
21812,5535,13425
21813,5535,15330
21814,5535,15516
21815,5535,18598
21816,5535,41664
21817,5535,44885
21818,5535,54585
21819,5535,61915
21820,5535,75899
21821,5535,76824
21822,5535,93933
21823,5535,94621
21848,5540,38244
21859,5542,79023
21866,5544,298
21867,5544,10243
21868,5544,11076
21869,5544,15201
21870,5544,15396
21871,5544,15556
21872,5544,22502
21873,5544,25703
21874,5544,42815
21875,5544,45049
21876,5544,45225
21877,5544,45279
21878,5544,51462
21879,5544,61799
21880,5544,63448
21881,5544,78676
21882,5544,86887
21883,5544,88993
21884,5544,111909
21908,5553,29602
21912,5554,76121
21938,5558,47870
21974,5565,10216
22014,5575,2637
22018,5575,15981
22075,5593,94001
22083,5594,40870
22096,5597,7397
22111,5606,5225
22128,5613,85606
22133,5622,12229
22157,5627,33949
22192,5641,4548
22230,5647,41359
22262,5659,23368
22278,5668,43283
22303,5677,2066
22304,5677,4399
22305,5677,4539
22306,5677,4661
22307,5677,5654
22308,5677,7725
22309,5677,8075
22310,5677,8821
22311,5677,9675
22312,5677,10859
22313,5677,12912
22314,5677,14865
22315,5677,25436
22316,5677,30687
22317,5677,47427
22318,5677,57325
22319,5677,62715
22320,5677,68398
22321,5677,74560
22322,5677,76943
22323,5677,98456
22324,5677,100706
22346,5683,44061
22354,5683,110074
22414,5697,86549
22424,5700,24785
22427,5701,16664
22459,5709,67417
22471,5709,105690
22477,5712,3613
22478,5712,21518
22537,5731,61303
22543,5734,2110
22544,5734,4248
22545,5734,6722
22546,5734,8255
22547,5734,8508
22564,5737,9260
22565,5737,35011
22615,5751,14757
22616,5751,57426
22654,5758,14491
22655,5758,17413
22656,5758,20040
22657,5758,25383
22658,5758,86859
22720,5775,11694
22733,5789,1056
22755,5792,6073
22756,5792,40057
22757,5792,44390
22758,5792,47698
22759,5792,60962
22760,5792,61883
22761,5792,68023
22762,5792,95726
22763,5792,97231
22805,5800,8963
22878,5819,2246
22879,5821,37636
22897,5829,98685
22923,5833,100428
22953,5840,110769
22954,5841,2121
22955,5841,9619
22956,5841,25428
22957,5841,25721
22958,5841,33409
22959,5841,38625
22960,5841,79343
22961,5841,83711
23002,5849,109997
23013,5852,79408
23044,5860,14663
23105,5880,103841
23136,5897,3201
23158,5898,111496
23160,5899,107066
23161,5900,21185
23162,5900,34516
23163,5900,65211
23215,5922,97793
23251,5928,61556
23283,5942,14409
23284,5942,20176
23285,5942,21951
23286,5942,71290
23287,5942,81840
23288,5942,95308
23291,5945,6204
23292,5945,21748
23297,5947,91979
23321,5956,11516
23324,5956,50401
23332,5956,81829
23357,5961,14529
23386,5967,1883
23410,5972,52739
23452,5982,97905
23470,5993,1527
23471,5993,5374
23472,5993,40446
23473,5993,59044
23474,5993,91446
23475,5993,102085
23476,5993,109564
23493,6000,10703
23498,6000,31116
23507,6001,81003
23514,6003,3579
23515,6003,23812
23529,6005,97245
23531,6006,14757
23532,6006,15233
23533,6006,54704
23534,6006,61316
23535,6006,68215
23569,6011,86142
23606,6026,8194
23607,6026,49430
23608,6026,78508
23639,6034,35437
23659,6040,111056
23694,6052,44050
23695,6052,50351
23696,6052,60893
23698,6052,91115
23759,6069,18467
23776,6074,106382
23783,6080,2335
23784,6080,51062
23785,6080,78160
23786,6080,90650
23787,6080,110292
23824,6082,98095
23827,6082,103989
23863,6096,10289
23921,6106,111296
23946,6115,82312
23971,6129,22104
23979,6129,54758
23997,6132,3481
24038,6142,108690
24046,6146,23871
24069,6150,298
24077,6150,42815
24081,6152,17136
24147,6161,97436
24151,6162,67148
24153,6162,108461
24207,6178,60908
24209,6178,85993
24317,6213,52223
24325,6218,88241
24406,6236,16727
24437,6244,639
24438,6244,1739
24439,6244,9507
24440,6244,9912
24441,6244,16232
24442,6244,73321
24452,6253,6297
24503,6264,1132
24504,6264,6069
24505,6264,7180
24506,6264,8100
24507,6264,13202
24508,6264,16263
24509,6264,16687
24510,6264,20388
24511,6264,23306
